Sample,Genotype,Vi,Vt,Act,Act.S
MES,IT86D-1010,41.92792793,49.54054054,0.846335697,84.63356974
MES,IT86D-1010,40.63663664,55.53153153,0.731775903,73.17759031
MES,IT86D-1010,45.85885886,59.85585586,0.766154927,76.61549268
MES,IT86D-1010,35.27027027,41.43543544,0.85121032,85.12103203
WATER,IT86D-1010,49.44444444,51.96696697,0.951459116,95.14591159
WATER,IT86D-1010,45.41441441,54.44444444,0.834142306,83.41423056
WATER,IT86D-1010,48.81381381,59.27327327,0.823538352,82.35383524
WATER,IT86D-1010,35.95195195,44.23123123,0.81281825,81.28182497
FROZEN,IT86D-1010,50.36936937,56.51951952,0.891185378,89.1185378
FROZEN,IT86D-1010,45.12012012,57.44444444,0.785456637,78.54566365
FROZEN,IT86D-1010,49.78678679,64.40840841,0.772985826,77.29858262
FROZEN,IT86D-1010,33.996997,42.84984985,0.793398276,79.3398276
