Genotype,Plant,Replicate,Bicarbonate_mM,Duration_min,Vi_umol_min_mL,Vt_umol_min_mL,ActivationState
IT86D-1010,D,A,0,40,0.270954955,0.349801802,77.67
IT86D-1010,D,B,0,40,0.409513514,0.461513514,88.39
IT86D-1010,D,C,0,40,0.425477477,0.470846847,84.41
IT86D-1010,D,D,0,40,0.407171171,0.535243243,79.74
IT82E-16,E,A,0,40,0.405585586,0.466882883,84.85
IT82E-16,E,B,0,40,0.528468468,0.680216216,82.99
IT82E-16,E,C,0,40,0.411279279,0.651459459,82.94
IT82E-16,E,D,0,40,0.547711712,0.671531532,76.18
Adenantha,N,A,0,40,0.176468468,0.313225225,56.21
Adenantha,N,B,0,40,0.23563964,0.294162162,84.47
Adenantha,N,C,0,40,0.217441441,0.366810811,58.92
Adenantha,N,D,0,40,0.382630631,0.522414414,71.78
TVNu-1948,T,A,0,40,0.255063063,0.434414414,68.57
TVNu-1948,T,B,0,40,0.324432432,0.391531532,83.04
TVNu-1948,T,C,0,40,0.307171171,0.446666667,68.42
TVNu-1948,T,D,0,40,0.369441441,0.558738739,64.80
IT86D-1010,D,A,10,40,0.252684685,0.325405405,80.55
IT86D-1010,D,B,10,40,0.41809009,0.451531532,85.60
IT86D-1010,D,C,10,40,0.355135135,0.44436036,79.05
IT86D-1010,D,D,10,40,0.365369369,0.486954955,74.05
IT82E-16,E,A,10,40,0.340396396,0.389369369,86.47
IT82E-16,E,B,10,40,0.529513514,0.637513514,85.87
IT82E-16,E,C,10,40,0.423567568,0.535279279,80.80
IT82E-16,E,D,10,40,0.536324324,0.678234234,77.09
Adenantha,N,A,10,40,0.258594595,0.304900901,83.92
Adenantha,N,B,10,40,0.342342342,0.418846847,81.56
Adenantha,N,C,10,40,0.271063063,0.346846847,75.42
Adenantha,N,D,10,40,0.371171171,0.515423423,71.42
TVNu-1948,T,A,10,40,0.360216216,0.443423423,80.40
TVNu-1948,T,B,10,40,0.326954955,0.475531532,76.77
TVNu-1948,T,C,10,40,0.343459459,0.456900901,71.95
TVNu-1948,T,D,10,40,0.341477477,0.537441441,66.56
IT86D-1010,D,A,0,80,0.286486486,0.331747748,83.64
IT86D-1010,D,B,0,80,0.386342342,0.451783784,84.61
IT86D-1010,D,C,0,80,0.346810811,0.45618018,79.06
IT86D-1010,D,D,0,80,0.382378378,0.482594595,74.98
IT82E-16,E,A,0,80,0.412684685,0.478918919,86.20
IT82E-16,E,B,0,80,0.562522523,0.633873874,83.51
IT82E-16,E,C,0,80,0.466162162,0.579171171,78.62
IT82E-16,E,D,0,80,0.430738739,0.633693694,72.25
Adenantha,N,A,0,80,0.237693694,0.277837838,83.04
Adenantha,N,B,0,80,0.334378378,0.387711712,82.62
Adenantha,N,C,0,80,0.314234234,0.384432432,77.68
Adenantha,N,D,0,80,0.392612613,0.466198198,79.83
TVNu-1948,T,A,0,80,0.341405405,0.412252252,82.23
TVNu-1948,T,B,0,80,0.334918919,0.447387387,74.03
TVNu-1948,T,C,0,80,0.340432432,0.440468468,74.50
TVNu-1948,T,D,0,80,0.31218018,0.459099099,70.88
IT86D-1010,D,A,10,80,0.289693694,0.338630631,85.94
IT86D-1010,D,B,10,80,0.441261261,0.508,87.73
IT86D-1010,D,C,10,80,0.364540541,0.442738739,80.79
IT86D-1010,D,D,10,80,0.427603604,0.486738739,82.66
IT82E-16,E,A,10,80,0.384684685,0.483747748,83.32
IT82E-16,E,B,10,80,0.501945946,0.639855856,80.01
IT82E-16,E,C,10,80,0.433873874,0.57427027,78.18
IT82E-16,E,D,10,80,0.454522523,0.549081081,79.02
Adenantha,N,A,10,80,0.241045045,0.281369369,84.81
Adenantha,N,B,10,80,0.364720721,0.422954955,85.93
Adenantha,N,C,10,80,0.279279279,0.352144144,77.24
Adenantha,N,D,10,80,0.383243243,0.498486486,76.88
TVNu-1948,T,A,10,80,0.299711712,0.40018018,81.12
TVNu-1948,T,B,10,80,0.343927928,0.442774775,76.71
TVNu-1948,T,C,10,80,0.376612613,0.474918919,79.22
TVNu-1948,T,D,10,80,0.36245045,0.493765766,70.55
