extract,sampleID,geno,block,plant,time,Vi_umol_min_mL,Vt3_umol_min_mL,ActS_ratio,ActivationState
115,D1D,IT86D-1010,D,IT86D-1010_D,-4,0.243155727,0.32245045,0.754087106,75.40871065
276,D1A,IT86D-1010,A,IT86D-1010_A,-4,0.266774775,0.342738739,0.778361897,77.83618968
95,D2D,IT86D-1010,D,IT86D-1010_D,-1,0.27636036,0.364828829,0.757506914,75.75069143
346,D2A,IT86D-1010,A,IT86D-1010_A,-1,0.302306306,0.377405405,0.801012126,80.10121264
210,D3C,IT86D-1010,C,IT86D-1010_C,0.25,0.188972973,0.256756757,0.736,73.6
235,D3A,IT86D-1010,A,IT86D-1010_A,0.25,0.248432432,0.308864865,0.804340217,80.4340217
260,D3D,IT86D-1010,D,IT86D-1010_D,0.25,0.271027027,0.331423423,0.817766663,81.7766663
47,D4B,IT86D-1010,B,IT86D-1010_B,0.5,0.196756757,0.296468468,0.663668409,66.36684089
248,D4D,IT86D-1010,D,IT86D-1010_D,0.5,0.244972973,0.342594595,0.715052067,71.50520669
295,D4A,IT86D-1010,A,IT86D-1010_A,0.5,0.248684685,0.334954955,0.742442173,74.24421732
455,D4C,IT86D-1010,C,IT86D-1010_C,0.5,0.163351351,0.271603604,0.601432931,60.14329309
67,D5B,IT86D-1010,B,IT86D-1010_B,0.75,0.173369369,0.315387387,0.549702925,54.9702925
73,D5D,IT86D-1010,D,IT86D-1010_D,0.75,0.230702703,0.345513514,0.667709637,66.7709637
296,D5C,IT86D-1010,C,IT86D-1010_C,0.75,0.160108108,0.252468468,0.634170711,63.41707108
220,D5A,IT86D-1010,A,IT86D-1010_A,0.78,0.212900901,0.300324324,0.708903288,70.89032877
85,D6D,IT86D-1010,D,IT86D-1010_D,1,0.230378378,0.355099099,0.648772072,64.87720723
91,D6C,IT86D-1010,C,IT86D-1010_C,1,0.151279279,0.248648649,0.608405797,60.84057971
225,D6A,IT86D-1010,A,IT86D-1010_A,1,0.227603604,0.320936937,0.709184819,70.91848192
229,D6B,IT86D-1010,B,IT86D-1010_B,1,0.183855856,0.280936937,0.654438173,65.44381734
65,D7B,IT86D-1010,B,IT86D-1010_B,1.25,0.150198198,0.277369369,0.541509679,54.15096791
135,D7D,IT86D-1010,D,IT86D-1010_D,1.25,0.222630631,0.36154955,0.615767966,61.57679657
313,D7A,IT86D-1010,A,IT86D-1010_A,1.25,0.20572973,0.322378378,0.638162307,63.81623072
443,D7C,IT86D-1010,C,IT86D-1010_C,1.25,0.194342342,0.338378378,0.574334398,57.43343983
145,D8D,IT86D-1010,D,IT86D-1010_D,1.5,0.18836036,0.303243243,0.621152704,62.11527035
336,D8B,IT86D-1010,B,IT86D-1010_B,1.5,0.176936937,0.292792793,0.604307692,60.43076923
338,D8C,IT86D-1010,C,IT86D-1010_C,1.5,0.165708108,0.217297297,0.762587065,76.25870647
316,D8A,IT86D-1010,A,IT86D-1010_A,1.52,0.196072072,0.31827027,0.616055254,61.60552536
43,D9A,IT86D-1010,A,IT86D-1010_A,2,0.19754955,0.329369369,0.599781182,59.97811816
327,D9B,IT86D-1010,B,IT86D-1010_B,2,0.169477477,0.290738739,0.582920178,58.29201785
433,D9C,IT86D-1010,C,IT86D-1010_C,2,0.171099099,0.299783784,0.570741676,57.07416757
79,D10C,IT86D-1010,C,IT86D-1010_C,4,0.13845045,0.224288288,0.617287918,61.72879177
130,D10D,IT86D-1010,D,IT86D-1010_D,4,0.169945946,0.322162162,0.527516779,52.75167785
309,D10A,IT86D-1010,A,IT86D-1010_A,4,0.170630631,0.294882883,0.578638641,57.86386411
361,D10B,IT86D-1010,B,IT86D-1010_B,4,0.181585586,0.31581982,0.574965769,57.49657691
