"model","geno","cum.nolag","cum.Rubisco","foregone","perc.diff"
"Vc","V. adenantha",522.907796194315,417.965238925655,104.94255726866,20.0690366509018
"Vc","TVNu-1948",531.325159114354,422.552603667847,108.772555446507,20.4719376789564
"Vc","IT82E-16",568.870469741637,448.57249427495,120.297975466687,21.1468131789865
"Vc","IT86D-1010",554.401537691359,441.096739967966,113.304797723394,20.4373166415118
"AS","V. adenantha",522.907796194315,421.699576468724,101.208219725591,19.3548882732629
"AS","TVNu-1948",531.325159114354,418.698417768656,112.626741345698,21.1973288698452
"AS","IT82E-16",568.870469741637,454.708777499944,114.161692241693,20.0681347185312
"AS","IT86D-1010",554.401537691359,436.640015878923,117.761521812436,21.2411968233023
"VA","V. adenantha",522.907796194315,434.638513842883,88.269282351432,16.8804678365573
"VA","TVNu-1948",531.325159114354,439.919083379757,91.4060757345973,17.2034156799499
"VA","IT82E-16",568.870469741637,467.940248255838,100.930221485799,17.7422149424698
"VA","IT86D-1010",554.401537691359,459.22258034623,95.1789573451292,17.1678739820012
"AV","V. adenantha",522.907796194315,404.2266016004,118.681194593915,22.6963903498223
"AV","TVNu-1948",531.325159114354,400.264535359373,131.060623754981,24.6667453077963
"AV","IT82E-16",568.870469741637,434.406977475782,134.463492265856,23.636926052239
"AV","IT86D-1010",554.401537691359,417.359458173118,137.042079518241,24.7189212513573
